arteriole,a
vagina,vg.0,transitional/表層透明/內環外縱
Mammary gland,mm.0
lactiferous duct,mm.d
lactiferous sinus,mm.s
acinar cells,mm.c1 
acinar cells,mm.a
myoepithelial cell,mm.c2 
myoepithelial cell,mm.myo
Interlobar tissue,mm.ct3,dense/adipose
Interlobular tissue,mm.ct2,dense/blood&fat 
Intralobular tissue,mm.ct1,loose/no fat
Pituitary gland,pi.0
Pars distalis,pi.ant,深
Pars intermedia,pi.mid
Pars nervosa,pi.post,淺
chromophils,pi.gc
chromophils,pi.g1
Acidophils,pi.ga
Basophils,pi.gb
chromophobes,pi.g2,核聚在一起
pituicytes,pi.glia
pituicytes,pi.pi
Herring bodies,pi.h,紅色實心
pituicytes,pi.p1,淡核/glia
pituicytes,pi.glia,淡核/glia
Herring bodies,pi.p2
Thyroid gland,thy.0
Thyroid follicles,thy.f
Thyroid follicles,thy.1
follicular cell,thy.fc
follicular cell,thy.c1
clear cell,thy.c2,核淡染
colloid,thy.c
Parathyroid gland,pth.0
chief cell,pth.c1,核聚在一起
oxyphil cell,pth.c2,大顆
Adrenal gland,ad.0
zona glomerulosa,ad.c1,深而密
zona fasciculate,ad.c2,空包長條
spongiocytes,ad.c2c
zona reticularis,ad.c3,深而密
chromaffin cell,ad.mc1
chromaffin cell,ad.ch
ganglion cell,ad.mc2,細胞質深染
Pineal gland,pin.0
pinealocyte,pin.c1,核大淡染
pinealocyte,pin.c
neuroglial cell,pin.n,核深染
neuroglial cell,pin.c2
Brain sand,pin.bs
pseudostratified ciliated columnar epithelium,re.epi
supporting cell,re.s,核中間 
besal cell,re.b
olfactory cell,re.o
olfactory cell,re.n,核仁明顯
clara cell,re.c
type I alveolar cell,re.1,扁
type II alveolar cell,re.2,圓
Pacinian corpuscle,ins.n1,在dermis凸起
Pacinian corpuscle,ins.np
Meissner corpuscles,ins.n2,大漩渦
Meissner corpuscles,ins.nc
Melanocytes,int.m
Melanocytes,int.c2
Langerhans cell,ins.l
Langerhans cell,ins.c1
Merkel cell,ins.mk
Merkel cell,ins.c3
stratum corneum,int.sc
stratum corneum,int.1
stratum lucidum,int.sl
stratum lucidum,int.2
stratum granulosum,int.sg
stratum granulosum,int.3
stratum spinosum,int.ss
stratum spinosum,int.4
stratum basale,int.sb
stratum basale,int.5
